iter	RMSE
0	2.829310989e+18
1	2.786764639e+18
2	2.740165028e+18
3	2.699592007e+18
4	2.658519115e+18
5	2.62112455e+18
6	2.578322206e+18
7	2.54136041e+18
8	2.511741397e+18
9	2.47614105e+18
10	2.442827768e+18
11	2.405899641e+18
12	2.366667871e+18
13	2.329339328e+18
14	2.298532836e+18
15	2.272178855e+18
16	2.247027598e+18
17	2.214990594e+18
18	2.185153565e+18
19	2.15349463e+18
20	2.118617363e+18
21	2.093076036e+18
22	2.063562916e+18
23	2.038724299e+18
24	2.010299088e+18
25	1.987542418e+18
26	1.959597451e+18
27	1.932233401e+18
28	1.909665396e+18
29	1.885129252e+18
30	1.857934199e+18
31	1.831591789e+18
32	1.804627555e+18
33	1.77951954e+18
34	1.757124545e+18
35	1.736587161e+18
36	1.716909095e+18
37	1.6960194e+18
38	1.671352409e+18
39	1.650609587e+18
40	1.630681192e+18
41	1.609395961e+18
42	1.594683981e+18
43	1.57468933e+18
44	1.558378667e+18
45	1.540383268e+18
46	1.5238216e+18
47	1.502441761e+18
48	1.484752508e+18
49	1.467277336e+18
50	1.450123377e+18
51	1.434608133e+18
52	1.419078027e+18
53	1.403341531e+18
54	1.387279966e+18
55	1.367789602e+18
56	1.352894965e+18
57	1.339055449e+18
58	1.32497843e+18
59	1.307948073e+18
60	1.291313931e+18
61	1.276644648e+18
62	1.261059725e+18
63	1.247451127e+18
64	1.23320164e+18
65	1.218046961e+18
66	1.202878866e+18
67	1.188116357e+18
68	1.176350996e+18
69	1.161204118e+18
70	1.15000548e+18
71	1.138546181e+18
72	1.126975806e+18
73	1.113924653e+18
74	1.104030655e+18
75	1.091911341e+18
76	1.080707401e+18
77	1.069095962e+18
78	1.058617951e+18
79	1.0472021e+18
80	1.038129292e+18
81	1.029130067e+18
82	1.020456613e+18
83	1.014001245e+18
84	1.004140962e+18
85	9.958723322e+17
86	9.854093337e+17
87	9.777362284e+17
88	9.685296227e+17
89	9.59727062e+17
90	9.499160132e+17
91	9.431257512e+17
92	9.35977609e+17
93	9.271554561e+17
94	9.195206868e+17
95	9.119866109e+17
96	9.037095828e+17
97	8.973847364e+17
98	8.902748554e+17
99	8.834215558e+17
100	8.755257554e+17
101	8.675133774e+17
102	8.600447111e+17
103	8.545246087e+17
104	8.471545778e+17
105	8.412223157e+17
106	8.340499265e+17
107	8.257919786e+17
108	8.207281819e+17
109	8.150644864e+17
110	8.070527564e+17
111	8.006800389e+17
112	7.931880527e+17
113	7.870541199e+17
114	7.815576512e+17
115	7.748513633e+17
116	7.705581034e+17
117	7.64133694e+17
118	7.577919049e+17
119	7.549297499e+17
120	7.499070438e+17
121	7.456350772e+17
122	7.411485534e+17
123	7.377529866e+17
124	7.344318866e+17
125	7.294568197e+17
126	7.26919147e+17
127	7.226503176e+17
128	7.174587109e+17
129	7.123309974e+17
130	7.078088098e+17
131	7.039817703e+17
132	6.995911194e+17
133	6.965611309e+17
134	6.924690717e+17
135	6.897102392e+17
136	6.860000308e+17
137	6.816599476e+17
138	6.779592805e+17
139	6.752164906e+17
140	6.711723607e+17
141	6.665263201e+17
142	6.642715198e+17
143	6.601695745e+17
144	6.563525573e+17
145	6.540588693e+17
146	6.50474969e+17
147	6.487837172e+17
148	6.457864933e+17
149	6.424273395e+17
150	6.389875173e+17
151	6.352057097e+17
152	6.320974558e+17
153	6.301331557e+17
154	6.265893589e+17
155	6.22357512e+17
156	6.196931541e+17
157	6.163809983e+17
158	6.133756986e+17
159	6.110189775e+17
160	6.080752393e+17
161	6.047558409e+17
162	6.016814716e+17
163	5.981638791e+17
164	5.956911191e+17
165	5.936830355e+17
166	5.919498704e+17
167	5.894294526e+17
168	5.875917301e+17
169	5.849226914e+17
170	5.824926018e+17
171	5.809082713e+17
172	5.789464468e+17
173	5.770919647e+17
174	5.746977816e+17
175	5.727284511e+17
176	5.701899325e+17
177	5.675772583e+17
178	5.657576947e+17
179	5.630924632e+17
180	5.605645755e+17
181	5.592635601e+17
182	5.564981756e+17
183	5.552250867e+17
184	5.529149259e+17
185	5.504298822e+17
186	5.492339675e+17
187	5.473371734e+17
188	5.455635673e+17
189	5.440494847e+17
190	5.417419183e+17
191	5.404111751e+17
192	5.386262202e+17
193	5.370754458e+17
194	5.353150303e+17
195	5.332476495e+17
196	5.327712779e+17
197	5.312507916e+17
198	5.295927995e+17
199	5.278087521e+17
200	5.263116957e+17
201	5.243409914e+17
202	5.227260979e+17
203	5.208799093e+17
204	5.187324694e+17
205	5.172413866e+17
206	5.155149864e+17
207	5.145239264e+17
208	5.127474218e+17
209	5.117181777e+17
210	5.101248718e+17
211	5.082129574e+17
212	5.061367695e+17
213	5.056791962e+17
214	5.046019251e+17
215	5.030414293e+17
216	5.020276654e+17
217	5.00470939e+17
218	4.991364977e+17
219	4.980023556e+17
220	4.964978095e+17
221	4.945625344e+17
222	4.934197861e+17
223	4.919906431e+17
224	4.913608411e+17
225	4.899811543e+17
226	4.889742712e+17
227	4.875185304e+17
228	4.855485016e+17
229	4.841227143e+17
230	4.827433498e+17
231	4.820393771e+17
232	4.807736394e+17
233	4.790500086e+17
234	4.777240997e+17
235	4.761837367e+17
236	4.752825777e+17
237	4.746527427e+17
238	4.732688315e+17
239	4.722884738e+17
240	4.708350218e+17
241	4.702573123e+17
242	4.689256177e+17
243	4.683406634e+17
244	4.665166512e+17
245	4.650387704e+17
246	4.638313728e+17
247	4.627012611e+17
248	4.619977189e+17
249	4.608737979e+17
250	4.601767303e+17
251	4.590248585e+17
252	4.583240473e+17
253	4.57632791e+17
254	4.564573345e+17
255	4.557678175e+17
256	4.549034117e+17
257	4.544677351e+17
258	4.538208725e+17
259	4.527370769e+17
260	4.524767358e+17
261	4.518239011e+17
262	4.513246648e+17
263	4.497355033e+17
264	4.483888477e+17
265	4.473580228e+17
266	4.462864494e+17
267	4.452963473e+17
268	4.441080349e+17
269	4.431042829e+17
270	4.426376697e+17
271	4.416774321e+17
272	4.410878214e+17
273	4.397944122e+17
274	4.391295644e+17
275	4.384041523e+17
276	4.376900119e+17
277	4.371227922e+17
278	4.365633678e+17
279	4.357171787e+17
280	4.345323706e+17
281	4.339833121e+17
282	4.334121294e+17
283	4.323492008e+17
284	4.312075221e+17
285	4.302791258e+17
286	4.29412473e+17
287	4.288920157e+17
288	4.28378732e+17
289	4.278725239e+17
290	4.270465188e+17
291	4.260726591e+17
292	4.252673568e+17
293	4.241787876e+17
294	4.233918208e+17
295	4.226225982e+17
296	4.221515062e+17
297	4.211462018e+17
298	4.206300501e+17
299	4.201219159e+17
300	4.196655902e+17
301	4.192155782e+17
302	4.181505932e+17
303	4.177058694e+17
304	4.168163731e+17
305	4.163772473e+17
306	4.153855424e+17
307	4.149705775e+17
308	4.140098463e+17
309	4.135838213e+17
310	4.131636949e+17
311	4.121835108e+17
312	4.11340895e+17
313	4.108816984e+17
314	4.10170033e+17
315	4.09493589e+17
316	4.085607432e+17
317	4.07757194e+17
318	4.07356326e+17
319	4.065354183e+17
320	4.058812077e+17
321	4.053178599e+17
322	4.044184361e+17
323	4.040316647e+17
324	4.036502598e+17
325	4.028422893e+17
326	4.020430912e+17
327	4.012525812e+17
328	4.004706752e+17
329	3.99496174e+17
330	3.991214219e+17
331	3.981584395e+17
332	3.972075834e+17
333	3.962686899e+17
334	3.956463813e+17
335	3.950385703e+17
336	3.946771228e+17
337	3.943207083e+17
338	3.9339182e+17
339	3.928079978e+17
340	3.918904626e+17
341	3.915381705e+17
342	3.906317848e+17
343	3.902844863e+17
344	3.895619978e+17
345	3.886714463e+17
346	3.881556283e+17
347	3.875908455e+17
348	3.872531009e+17
349	3.867459469e+17
350	3.864100033e+17
351	3.859151581e+17
352	3.855845734e+17
353	3.848763793e+17
354	3.840044351e+17
355	3.836789559e+17
356	3.829688654e+17
357	3.822807831e+17
358	3.815989033e+17
359	3.811202911e+17
360	3.804251134e+17
361	3.797376633e+17
362	3.7907315e+17
363	3.784216631e+17
364	3.777493425e+17
365	3.771094868e+17
366	3.764821022e+17
367	3.759479334e+17
368	3.756344938e+17
369	3.753254691e+17
370	3.74710466e+17
371	3.744055517e+17
372	3.738978713e+17
373	3.732951969e+17
374	3.727440154e+17
375	3.72447294e+17
376	3.718658187e+17
377	3.715730622e+17
378	3.710874011e+17
379	3.705174869e+17
380	3.702327833e+17
381	3.695822151e+17
382	3.693026814e+17
383	3.686365659e+17
384	3.683619935e+17
385	3.677039961e+17
386	3.670530239e+17
387	3.664090081e+17
388	3.657718808e+17
389	3.652156935e+17
390	3.646700514e+17
391	3.64134726e+17
392	3.635014227e+17
393	3.628749196e+17
394	3.613604392e+17
395	3.6074425e+17
396	3.60213646e+17
397	3.596031317e+17
398	3.591125553e+17
399	3.576222049e+17
400	3.561600347e+17
401	3.547117308e+17
402	3.541922106e+17
403	3.537930397e+17
404	3.533999669e+17
405	3.519668965e+17
406	3.513729991e+17
407	3.507854973e+17
408	3.501908617e+17
409	3.48788656e+17
410	3.474067405e+17
411	3.46927192e+17
412	3.4654034e+17
413	3.459601707e+17
414	3.44597984e+17
415	3.440363673e+17
416	3.42697212e+17
417	3.421352886e+17
418	3.416316038e+17
419	3.403130158e+17
420	3.398166874e+17
421	3.394413118e+17
422	3.388954288e+17
423	3.375956574e+17
424	3.370521226e+17
425	3.365201583e+17
426	3.352456128e+17
427	3.347862966e+17
428	3.33528613e+17
429	3.331593313e+17
430	3.326339986e+17
431	3.313964123e+17
432	3.308801266e+17
433	3.303986111e+17
434	3.301314312e+17
435	3.296212013e+17
436	3.284050127e+17
437	3.279595133e+17
438	3.267595615e+17
439	3.264945858e+17
440	3.259968337e+17
441	3.255045013e+17
442	3.251015413e+17
443	3.239227214e+17
444	3.235689841e+17
445	3.230835941e+17
446	3.218944467e+17
447	3.207500893e+17
448	3.202847431e+17
449	3.20023327e+17
450	3.196769611e+17
451	3.185172394e+17
452	3.182591352e+17
453	3.171162533e+17
454	3.167719631e+17
455	3.156684857e+17
456	3.153281304e+17
457	3.142398729e+17
458	3.131398648e+17
459	3.128830309e+17
460	3.125453032e+17
461	3.114854569e+17
462	3.112318857e+17
463	3.101592989e+17
464	3.098242043e+17
465	3.087920096e+17
466	3.084607571e+17
467	3.0801388e+17
468	3.06970273e+17
469	3.061761921e+17
470	3.059242317e+17
471	3.056757704e+17
472	3.048920308e+17
473	3.046463473e+17
474	3.041990183e+17
475	3.031829212e+17
476	3.027307057e+17
477	3.024048354e+17
478	3.016349486e+17
479	3.013923878e+17
480	3.006331865e+17
481	3.003933458e+17
482	2.999517166e+17
483	2.995088638e+17
484	2.985165027e+17
485	2.981962077e+17
486	2.9745032e+17
487	2.972135363e+17
488	2.96477995e+17
489	2.960441482e+17
490	2.958098572e+17
491	2.953731883e+17
492	2.949730552e+17
493	2.946631837e+17
494	2.94230657e+17
495	2.935007396e+17
496	2.930719158e+17
497	2.921101079e+17
498	2.9109488e+17
499	2.907352831e+17
500	2.904291306e+17
501	2.897186279e+17
502	2.894878961e+17
503	2.891363101e+17
504	2.881377046e+17
505	2.879092215e+17
506	2.875618825e+17
507	2.873364858e+17
508	2.866391023e+17
509	2.863418822e+17
510	2.854225433e+17
511	2.851993661e+17
512	2.842289807e+17
513	2.838873058e+17
514	2.836663045e+17
515	2.827087226e+17
516	2.823711672e+17
517	2.821523224e+17
518	2.818625903e+17
519	2.809160808e+17
520	2.805857079e+17
521	2.803694251e+17
522	2.796979102e+17
523	2.794840728e+17
524	2.785546994e+17
525	2.782275652e+17
526	2.780158193e+17
527	2.776936022e+17
528	2.77414803e+17
529	2.767552897e+17
530	2.765462622e+17
531	2.756312054e+17
532	2.753152396e+17
533	2.751082608e+17
534	2.742052867e+17
535	2.740004247e+17
536	2.736881656e+17
537	2.734860684e+17
538	2.728432203e+17
539	2.725350298e+17
540	2.72335142e+17
541	2.714965884e+17
542	2.712271503e+17
543	2.703484507e+17
544	2.701503186e+17
545	2.69284115e+17
546	2.689807407e+17
547	2.687845559e+17
548	2.684857071e+17
549	2.682241429e+17
550	2.675998958e+17
551	2.674062501e+17
552	2.665533279e+17
553	2.662603208e+17
554	2.660685828e+17
555	2.65456654e+17
556	2.652671011e+17
557	2.649778176e+17
558	2.641392819e+17
559	2.639515998e+17
560	2.636657645e+17
561	2.634806181e+17
562	2.626524697e+17
563	2.623700361e+17
564	2.621201003e+17
565	2.615225141e+17
566	2.613391091e+17
567	2.605679989e+17
568	2.603866152e+17
569	2.59579535e+17
570	2.593017506e+17
571	2.591221606e+17
572	2.588771811e+17
573	2.580795188e+17
574	2.578077297e+17
575	2.576302733e+17
576	2.568431395e+17
577	2.565745965e+17
578	2.563988984e+17
579	2.55622148e+17
580	2.553568064e+17
581	2.551828514e+17
582	2.549469208e+17
583	2.543737949e+17
584	2.542021767e+17
585	2.534380229e+17
586	2.53177875e+17
587	2.530079631e+17
588	2.522538921e+17
589	2.519968441e+17
590	2.517413584e+17
591	2.512225593e+17
592	2.509719515e+17
593	2.505469062e+17
594	2.498095539e+17
595	2.49597675e+17
596	2.488704871e+17
597	2.486605843e+17
598	2.479434136e+17
599	2.476888187e+17
600	2.474604682e+17
601	2.470469437e+17
602	2.4682163e+17
603	2.461149336e+17
604	2.458919777e+17
605	2.451947756e+17
606	2.450308231e+17
607	2.443434518e+17
608	2.440975975e+17
609	2.439352831e+17
610	2.432569451e+17
611	2.430140559e+17
612	2.428533662e+17
613	2.426140425e+17
614	2.424555146e+17
615	2.417848976e+17
616	2.415484507e+17
617	2.413915105e+17
618	2.407297065e+17
619	2.405355935e+17
620	2.403404611e+17
621	2.399420303e+17
622	2.397317704e+17
623	2.390796656e+17
624	2.386072294e+17
625	2.383987415e+17
626	2.379310068e+17
627	2.375431367e+17
628	2.373369583e+17
629	2.367046727e+17
630	2.36549335e+17
631	2.360929027e+17
632	2.358887894e+17
633	2.354369078e+17
634	2.349899607e+17
635	2.348359561e+17
636	2.343833105e+17
637	2.341811787e+17
638	2.335726429e+17
639	2.334202081e+17
640	2.332698627e+17
641	2.328330431e+17
642	2.324010067e+17
643	2.322008125e+17
644	2.317730946e+17
645	2.311852481e+17
646	2.309867948e+17
647	2.305503025e+17
648	2.303222574e+17
649	2.299052454e+17
650	2.296809327e+17
651	2.292684559e+17
652	2.288604827e+17
653	2.284569647e+17
654	2.282361909e+17
655	2.278370193e+17
656	2.274421989e+17
657	2.270516838e+17
658	2.268342703e+17
659	2.264479268e+17
660	2.260657906e+17
661	2.256878178e+17
662	2.254736083e+17
663	2.250996449e+17
664	2.246441772e+17
665	2.244327164e+17
666	2.240667504e+17
667	2.236208137e+17
668	2.230714163e+17
669	2.228618194e+17
670	2.22463372e+17
671	2.219188449e+17
672	2.217120749e+17
673	2.211727991e+17
674	2.206395096e+17
675	2.204344214e+17
676	2.199062531e+17
677	2.195117855e+17
678	2.192103604e+17
679	2.190075069e+17
680	2.184834374e+17
681	2.181869775e+17
682	2.179446915e+17
683	2.177434029e+17
684	2.173532868e+17
685	2.171146769e+17
686	2.168309065e+17
687	2.166322478e+17
688	2.162469301e+17
689	2.160156738e+17
690	2.158200828e+17
691	2.154397976e+17
692	2.152120329e+17
693	2.149395325e+17
694	2.147465093e+17
695	2.144225386e+17
696	2.142325333e+17
697	2.139121761e+17
698	2.133834662e+17
699	2.128604802e+17
700	2.12638067e+17
701	2.124272209e+17
702	2.12238181e+17
703	2.11918879e+17
704	2.113989344e+17
705	2.11134349e+17
706	2.109470885e+17
707	2.106300023e+17
708	2.101135182e+17
709	2.099069855e+17
710	2.09721729e+17
711	2.094069682e+17
712	2.08893896e+17
713	2.083863521e+17
714	2.081813279e+17
715	2.079973242e+17
716	2.076839717e+17
717	2.071797563e+17
718	2.069221273e+17
719	2.067398505e+17
720	2.063803015e+17
721	2.061798977e+17
722	2.056788397e+17
723	2.054808511e+17
724	2.0498466e+17
725	2.048037162e+17
726	2.043121433e+17
727	2.040630456e+17
728	2.038480625e+17
729	2.036685967e+17
730	2.033566864e+17
731	2.02867803e+17
732	2.026904397e+17
733	2.023811362e+17
734	2.018959087e+17
735	2.016822706e+17
736	2.015067335e+17
737	2.011996849e+17
738	2.00717602e+17
739	2.00240677e+17
740	2.000289478e+17
741	1.998545439e+17
742	1.995488608e+17
743	1.990750098e+17
744	1.988656459e+17
745	1.986930427e+17
746	1.983895993e+17
747	1.979188082e+17
748	1.97453051e+17
749	1.972455445e+17
750	1.970740662e+17
751	1.967287233e+17
752	1.965239867e+17
753	1.960610487e+17
754	1.95859115e+17
755	1.956894194e+17
756	1.952303067e+17
757	1.950309091e+17
758	1.948629875e+17
759	1.945614231e+17
760	1.941052495e+17
761	1.936539394e+17
762	1.934562796e+17
763	1.932894828e+17
764	1.929893054e+17
765	1.925408751e+17
766	1.923760393e+17
767	1.920783949e+17
768	1.916332905e+17
769	1.91455268e+17
770	1.910144589e+17
771	1.908508049e+17
772	1.904140911e+17
773	1.902191991e+17
774	1.898823318e+17
775	1.896902104e+17
776	1.895282766e+17
777	1.890941751e+17
778	1.886646982e+17
779	1.884745327e+17
780	1.883137123e+17
781	1.880172306e+17
782	1.875904775e+17
783	1.874315617e+17
784	1.870087747e+17
785	1.868200571e+17
786	1.865249894e+17
787	1.863677595e+17
788	1.859476587e+17
789	1.855320414e+17
790	1.853449589e+17
791	1.851888205e+17
792	1.848951751e+17
793	1.844821974e+17
794	1.843279092e+17
795	1.840367639e+17
796	1.836268423e+17
797	1.834409046e+17
798	1.832882496e+17
799	1.829992968e+17
800	1.825919962e+17
801	1.821890525e+17
802	1.820336368e+17
803	1.818821878e+17
804	1.814825311e+17
805	1.810871574e+17
806	1.809037009e+17
807	1.807533184e+17
808	1.804640663e+17
809	1.800712136e+17
810	1.799226159e+17
811	1.796358319e+17
812	1.792458979e+17
813	1.788601501e+17
814	1.787058827e+17
815	1.785584772e+17
816	1.781758885e+17
817	1.777974152e+17
818	1.77644218e+17
819	1.774980069e+17
820	1.772111276e+17
821	1.768350094e+17
822	1.766905359e+17
823	1.763179662e+17
824	1.76032795e+17
825	1.756635048e+17
826	1.75510605e+17
827	1.753673055e+17
828	1.750010562e+17
829	1.746387675e+17
830	1.744869444e+17
831	1.743448183e+17
832	1.740603422e+17
833	1.737003152e+17
834	1.733441906e+17
835	1.731910693e+17
836	1.730499343e+17
837	1.727668568e+17
838	1.724131575e+17
839	1.722737099e+17
840	1.71923368e+17
841	1.717712925e+17
842	1.716214418e+17
843	1.714832429e+17
844	1.712012543e+17
845	1.709224036e+17
846	1.705735107e+17
847	1.704259865e+17
848	1.702893856e+17
849	1.69943384e+17
850	1.697973568e+17
851	1.696623375e+17
852	1.693849031e+17
853	1.690410808e+17
854	1.689076624e+17
855	1.68567127e+17
856	1.684219676e+17
857	1.680847261e+17
858	1.679410871e+17
859	1.67808709e+17
860	1.675319715e+17
861	1.671968637e+17
862	1.670660561e+17
863	1.66734168e+17
864	1.665913732e+17
865	1.662627106e+17
866	1.661214098e+17
867	1.659916251e+17
868	1.657155854e+17
869	1.653890112e+17
870	1.652607673e+17
871	1.649373463e+17
872	1.647968693e+17
873	1.64476606e+17
874	1.64337598e+17
875	1.642103605e+17
876	1.639350223e+17
877	1.636168026e+17
878	1.634790403e+17
879	1.633532593e+17
880	1.630377418e+17
881	1.627257056e+17
882	1.625889415e+17
883	1.624642051e+17
884	1.621895716e+17
885	1.618795344e+17
886	1.617439904e+17
887	1.616206821e+17
888	1.61313292e+17
889	1.610093063e+17
890	1.608747488e+17
891	1.607524703e+17
892	1.604785497e+17
893	1.601765187e+17
894	1.600431573e+17
895	1.599222793e+17
896	1.59622841e+17
897	1.59326731e+17
898	1.591943451e+17
899	1.590744824e+17
900	1.588012843e+17
901	1.585070854e+17
902	1.58375873e+17
903	1.582573839e+17
904	1.579657238e+17
905	1.576773172e+17
906	1.5754707e+17
907	1.574295818e+17
908	1.571571168e+17
909	1.568705782e+17
910	1.565872419e+17
911	1.564578034e+17
912	1.563412904e+17
913	1.560604083e+17
914	1.559322755e+17
915	1.558171266e+17
916	1.555454106e+17
917	1.552663543e+17
918	1.549904277e+17
919	1.548630922e+17
920	1.54748903e+17
921	1.544753787e+17
922	1.543493293e+17
923	1.542364796e+17
924	1.539165134e+17
925	1.537918621e+17
926	1.536805824e+17
927	1.534122411e+17
928	1.531394019e+17
929	1.5301583e+17
930	1.529058192e+17
931	1.526353816e+17
932	1.522604105e+17
933	1.521854541e+17
934	1.521113832e+17
935	1.518436769e+17
936	1.515774285e+17
937	1.51209705e+17
938	1.511360643e+17
939	1.510632931e+17
940	1.509913813e+17
941	1.50920319e+17
942	1.506584815e+17
943	1.502981574e+17
944	1.502276197e+17
945	1.501579152e+17
946	1.500890343e+17
947	1.497342005e+17
948	1.496659675e+17
949	1.495985405e+17
950	1.49329608e+17
951	1.490733503e+17
952	1.48777369e+17
953	1.487103282e+17
954	1.484206246e+17
955	1.481372218e+17
956	1.480215266e+17
957	1.479555516e+17
958	1.4781926e+17
959	1.477539891e+17
960	1.476894903e+17
961	1.475549735e+17
962	1.474911637e+17
963	1.474281093e+17
964	1.472953439e+17
965	1.472329637e+17
966	1.471019978e+17
967	1.470402854e+17
968	1.469793041e+17
969	1.468500417e+17
970	1.467897139e+17
971	1.466622005e+17
972	1.466025199e+17
973	1.465435468e+17
974	1.464176904e+17
975	1.463593506e+17
976	1.463017028e+17
977	1.459855368e+17
978	1.458611218e+17
979	1.458039731e+17
980	1.456812358e+17
981	1.456247016e+17
982	1.455688383e+17
983	1.454476921e+17
984	1.453924301e+17
985	1.452729147e+17
986	1.452182482e+17
987	1.451642309e+17
988	1.44850544e+17
989	1.447406463e+17
990	1.444307699e+17
991	1.443224999e+17
992	1.442691324e+17
993	1.440033479e+17
994	1.438968807e+17
995	1.436339493e+17
996	1.433329116e+17
997	1.432279861e+17
998	1.429704743e+17
999	1.42867161e+17
